,nblfq_tagged,,,,,,,,,,nblfq_dcas,,,,,,,,,,cc_queue,,,,,,,,,,scq_cas,,,,,,,,,,scq_dcas,,,,,,,,,,ms_lock,,,,,,,,,,ms,,,,,,,,,,lock,,,,,,,,,,lcrq,,,,,,,,,,wcq,,,,,,,,,,rcqs,,,,,,,,,,rcqb,,,,,,,,,,rcqd,,,,,,,,,,lscq_cas,,,,,,,,,,lscq_dcas,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
1,544066,585290,704092,539979,537042,541609,547608,538090,644020,552023,527300,503285,520370,513703,533684,511394,502952,502914,511305,496741,1163848,1136836,1130495,1116653,1132602,1128561,1193703,1135235,1150486,1120372,723808,718973,717190,771825,728664,761754,739574,757020,734495,720110,499451,493578,503984,504484,513760,503100,488851,478819,475781,481167,614252,601411,585855,575846,627211,574706,559779,578879,542302,574131,714417,697028,724578,684166,705848,708070,688055,698779,720766,681335,766421,739662,742813,734198,813214,733230,804668,762834,771279,767097,2547123,2514791,2427021,2618170,2444769,2760779,2644613,2679568,2455900,2637417,681727,689797,692464,677235,764460,678358,678960,771421,661243,705401,469741,459222,456002,447644,464297,472330,450614,458454,471493,457331,779925,755168,728411,789713,781719,768828,739473,705186,746847,779468,518290,536427,522636,529272,577284,503917,522225,547559,516176,513503,816348,1841044,1896895,1813711,1679085,1689536,1652881,1806817,1634246,1576559,767525,762900,841873,1002301,732340,828507,797138,906400,757620,743894
3,2716726,2842081,2795004,2836353,2802745,2729447,2814242,2747173,2732165,2662974,2509768,2518373,2506312,2469295,2561738,2549628,2528985,2438425,2560362,2467351,3838492,3699172,3711108,3822663,3387418,3627806,3513388,3634622,3505251,3531464,2442914,2487081,2474465,2423680,2549007,2479418,2442442,2491750,2477193,2483617,2336581,2325974,2377920,2315693,2361972,2350972,2341558,2335659,2345737,2348018,2152366,2079765,2055735,1987390,2062487,1943363,2054811,1960094,2032226,2031140,2538462,2579366,2718223,2716607,2689264,2688184,2702033,2733494,2644798,2558503,5218970,5164530,5356485,5520115,4890720,5423887,5278655,5268651,5450097,5331108,14001233,11432081,12087354,14449819,12170750,13274409,11975734,10758269,11731243,20471184,5231398,4932318,4995054,5051452,5033425,5043585,5167002,5336017,5471653,5395484,2258379,2287448,2256730,2299964,2254064,2219592,2176474,2220470,2219943,2221751,2446030,2438832,2431370,2411442,2394025,2351873,2353239,2383046,2412016,2366766,2328788,2415621,2351233,2341432,2328778,2323416,2290521,2308024,2002024,2051956,2643324,2487896,2712528,2568397,2655162,2510334,2645380,2524581,2700041,2554858,3784590,4012623,3698091,3734295,2771428,2784095,2651074,2741341,2856925,2850863
5,4459232,4165713,4136142,4020524,4085484,4250475,4265423,4413516,4191872,4202988,4075469,4176833,4101514,4017068,4090341,4357592,4105655,4015686,4182301,4011729,7471447,7319056,7500431,7563167,7420080,7524827,7336283,7589714,7285513,7598595,3683589,3699113,3709586,3684638,3657177,3663696,3713966,3756639,3688065,3659079,6043404,5938777,6021014,5928273,5974276,5911991,6003563,5943747,5990336,5998538,3854101,3876547,3926682,3804162,3903677,3886971,3767744,3839749,3797924,3904486,4071238,4065684,4093572,4126343,4029394,4124609,3995600,4082215,4034008,4084314,9981438,10060871,10198218,10055768,10332325,10313115,10253998,10264408,10233276,10333859,81520173,80294727,74425434,47507729,66427944,57854417,69196744,55418647,59758243,50589172,9936447,10033424,9948735,9920197,9697069,10097891,9843009,10154876,9831315,9855064,4757473,3709336,3708031,3594300,3626224,3553055,3623356,3657684,3651514,3700628,4098377,4075361,4142493,4090250,4101038,4100824,4115356,4123893,4123502,4088696,3539367,3506669,3481574,3476838,3567113,3499811,3500173,3504789,3480036,3441882,4512618,4493594,4448111,4475844,4475784,4507826,4573948,4488306,4477562,4494805,5737781,5702376,5766945,5623526,5692525,6077369,6150153,5987680,6087262,5951371
7,5871299,6055601,8011485,6068563,6200568,6163227,6186178,6418435,6351686,6348097,5900970,5993306,6040638,5965017,5929184,5905538,5867557,5882960,5898290,5950255,9757727,9986575,9364287,9307002,9241803,9341105,9252967,9291443,9711245,9507718,5252530,5140608,5118464,5227831,5114310,5140350,5164905,5181012,5113233,5145372,9597096,9544570,9674749,9585416,9578997,9644846,9523950,9561874,9655233,9743798,5573399,5579729,5630294,5678154,5612880,5607611,5625911,5605468,5782657,5625411,5752822,5805206,5755247,5960628,6007870,5948358,5751447,5750522,5748935,5979095,16063775,16747696,16844954,16719054,16160032,16699286,16612647,16929200,16402612,16480631,83345470,80861272,89555933,71488305,93446590,89529526,82113966,92735392,75333294,70105499,16277834,16342810,16814778,16254966,15830933,16082907,15914462,16300857,16686160,16470842,5132889,5080032,5073289,5064746,5062729,5104813,5158048,5064520,5111730,5067062,5738424,5755119,5731702,5763262,5730565,5844459,6046269,5773953,5744811,5748387,4822083,4951273,4799701,4827257,4834471,4880686,4853522,5046533,4946158,4825383,6154731,6192845,6189600,6261869,6203909,6198069,6199764,6165479,6252102,6216473,9541309,9751605,8688721,8745761,8323352,8699662,8787873,8923634,8720018,8328750
9,11471985,11788868,12223494,11046884,12614116,13599571,12799289,12508514,12294131,10911881,10063595,10905611,15374480,13604325,11568801,10556613,10115442,13865865,16662608,10159888,33432779,23335423,23117191,21581650,22726418,23338380,22105243,24461143,22810115,20658020,11533886,10610767,11571305,10632481,10454938,10609611,10596670,11455050,10581764,12546633,11584857,11767131,11849537,18805623,11563370,11648353,11587744,11621975,11796701,11654843,8035802,8087356,7906212,8727638,7991345,7879472,8216737,9140962,8027225,8193834,12576927,12310984,11080378,15161732,10895474,10905371,12595030,15618940,13220749,12887877,31230866,31714310,32736930,30734030,31520109,31650817,30448919,29143997,31579802,30138879,87600124,86075567,81268320,86686367,66344909,80400193,72637491,86138765,71808940,73164841,31602416,30919861,30099320,33114815,31040012,28960097,31312438,30035748,31107981,33008086,11833883,11516438,14891712,11899381,15381424,14670034,15216698,14754630,16530824,15118436,7375112,7382610,7364699,7365457,7390761,7350091,7374854,7398215,7373981,7402354,6396695,6490973,6919278,6401026,6297225,7854643,6666401,6434277,6651239,6511850,8157113,8158129,8179640,8195638,8150643,9442160,9676052,8468754,8336583,8258285,13372075,11479197,11892518,12361463,12574953,12067482,12264455,11846843,12551629,11562558
11,14111766,11922333,14206604,12659471,12859771,15328749,17092310,16446537,14685850,12919112,16570814,16673468,16225374,13992879,16286349,13761649,17932466,19591641,13053857,15005670,26373026,50057849,37387286,72927338,50575989,31472562,29803627,24525451,29945643,28301361,11957803,12970167,12976197,12969021,12991608,13018976,12934984,13988462,12946011,12928071,13622496,13930496,16171704,13710252,14145304,14101446,13555812,23397314,14993617,22531975,10857928,10945697,11153660,11129938,10903504,10857299,11195963,10829694,11704011,11866426,19056722,18348360,14274573,15205116,12469137,15773746,17602038,14533545,21947977,17543788,42009491,45217875,45232694,43448377,45677382,44992216,43974333,44144109,43047999,44378077,118311518,133574821,127427004,117640647,113094859,120093774,110853429,127576424,113929908,138319951,45435573,45093490,41848401,44463829,45849220,45532655,47916210,45121986,46299631,45146163,13283984,15613812,14974689,15438133,14974655,15072592,13914468,16905836,14396024,14785867,9041857,9048496,9045429,9030387,9027948,9044413,9034436,9060839,9041276,9032181,8355088,9278915,8168634,11827883,7855491,7719016,10371247,8567188,8522346,8333157,10094677,10100264,9994569,13645783,10043226,10150849,10017964,10059332,10096231,10171919,24239397,20559960,13905690,14540651,15450403,14525871,14687171,16256044,15634033,14410924
13,15273267,15571891,22961221,15777827,21861052,19209477,17277819,18853953,20314548,17436390,15685578,17010421,18505564,15807255,17438901,18719010,14134627,16715382,16677289,19906811,25861263,46259625,46551904,35839701,38061735,30892740,29234240,27608580,34909471,30964248,17415475,17399093,17473925,16499603,15481454,17441540,15524108,16432326,17505837,16469380,24219494,17205769,26018823,25070701,31754636,25220553,21853784,17661201,25888782,25499993,13670269,12007454,14160872,13314311,13116761,14372226,13524107,13734416,13713346,13973781,23334834,19754222,24285068,23171844,19280297,29717254,25293011,24553132,23830765,22236871,63065152,60814389,59084685,63617360,61693635,60002658,62431846,59337620,61748774,59880234,220003531,206340577,158608725,141999173,142676768,199949421,213437235,132602518,164771981,158740457,61000963,62889253,57900626,63911327,61693332,61143677,61110859,61017498,59366395,62864141,16554901,15499176,21580042,16635352,16480711,19078803,20756372,20289993,17465322,17977719,10703690,10666814,10723170,10706725,10685461,10687969,10641690,10669009,10718204,10732084,11010512,10523164,12788017,9928826,10485866,17103630,9587183,15042329,10564672,10092890,12126042,12016331,11988501,12057269,11959505,12182293,11927176,12053470,12183095,12076553,25021927,25875755,14901137,14532145,16394211,16600480,26145971,32041701,31147444,30071253
15,21331877,21202794,17984460,17850423,21112541,18923411,17746612,18683323,23408149,20394670,19799409,20058570,21125086,18351871,19413476,20913397,17784035,18654980,19478332,20387952,63094865,42352717,41124572,48292848,40653477,50536566,38462553,50168929,40748781,43828808,18851135,18892804,18876999,28000757,18926277,18906805,18970983,18879096,18895304,19873618,26448583,20638057,45549019,20506848,34984977,38298847,34233664,24319046,36833154,37214015,15489789,16979966,16181729,18568195,16022639,16196261,15135384,17072676,16861800,14426867,34686270,21579133,22185247,24358829,25809028,23449566,29987110,23466685,22390826,28155845,75891694,81700156,78066630,79028199,77017205,76919825,76484577,78758058,80420330,77685536,165130752,176521808,150253446,141578870,273109055,188304842,311113794,303468430,356053096,261312261,78211326,74713114,78909644,79151033,80327292,76810611,79044778,79939882,75479901,74304315,23436869,22448760,21124855,22001885,20148558,24210344,22115093,24107378,18867732,25963664,12352396,12410861,12333371,12365270,12411674,12392229,12517594,12343448,12357285,13322208,21223917,21324682,17366582,17142559,19871764,21001507,21334494,21636127,20856498,21316257,14058651,13933961,13826982,13941300,14073848,13846384,14044471,14139814,14035441,13848903,19828605,40988367,44560458,47857855,39358942,46619301,25859039,20562806,19360236,33911549
17,25275441,20343606,22429011,22877204,24725969,24488550,22953432,28662615,20268137,28244080,27003923,22370682,29092581,27409960,28623920,22646445,30579202,19994697,23421636,24832458,59254036,74557814,91219527,66806528,72521162,64394884,71360212,63901920,68966464,61702175,22389670,22311702,22344340,22430960,22385386,24323849,22418792,23936256,22427670,22351723,23721447,41173165,22527026,26889563,48491368,46386017,40927402,40752272,43447643,46487445,18205974,20596440,18676316,21062918,17274758,20684305,18501812,16789564,22611677,17923085,34904707,29352216,32717767,32802506,34068363,27168040,37205553,32896157,34168614,25881986,94735876,90807581,88521039,95142845,94831967,98217558,91206062,89937428,93914598,95931540,462249561,526454182,671612234,886415467,792909532,685065284,624008855,486453806,588275866,4881138899,101054373,95614556,95350334,98903109,91483420,98462977,92533491,97220328,94538457,89970433,23123302,26885041,25290576,26322980,27938258,22657983,23296786,23797648,27354199,28015191,14047560,14040991,14039171,14115009,14062169,14065543,14056834,14071807,14027224,14069170,24622345,23533962,25649133,24156347,25947208,28373897,23685970,24925852,23678004,23717907,15870507,15859442,15770126,15729242,15728250,15708465,15894094,15852263,15737319,15717293,34760318,50528994,20849596,20900889,30702350,40226027,39121701,41688006,39981102,30064981
19,32038276,21915479,27012959,33416855,26022736,23151097,22081651,29400942,37828901,17050299,24132819,30446421,30940986,29163441,29462201,29536714,21338320,26226209,27789077,33009398,110125813,111205187,88929421,89243397,97115460,91355869,82661111,77442651,64520841,58611747,25846806,23926039,25788480,25857181,25740823,25878645,25765538,29837259,25807612,29860043,39676962,51583357,55204026,56835266,42991394,43800390,53362403,44352795,64206891,56394016,19334526,22257841,20077598,26777954,24913903,19105389,22967741,25835517,20490004,19560754,37614383,41467670,37549664,44507866,50254493,40955025,65128365,25606242,55390910,49801770,114206428,112219127,118836718,129715596,117152353,124011160,112980233,118311703,116375464,109039132,5503005081,2824422086,3929092539,3662780287,682501632,11785876911,5676025493,3484972365,2184500406,3761089400,115940594,115866460,116984712,116671142,109397998,116876083,105612708,116508487,115017415,109069601,37970653,29391262,28789189,29887542,33775394,35683851,43071462,35427198,33008935,30878776,15738008,15645479,15660536,15682950,15705847,15711788,15664039,15826343,15670337,15701489,28839159,28824462,28565598,25328976,27276729,29530773,26593260,30886401,27265097,25470456,17614216,17615662,17456098,17444331,17417888,17519319,17519590,17504147,17475554,17506923,42726336,70565271,47527339,49661927,47893564,45512545,45297699,64807358,49754692,55592635
